well_id,FOV,nuclei_avg_int,cytoplasm_avg_int,nuc_to_cyt_ratio
A01,0,12.999650410834464,13.011935868519526,0.999055831675686
A01,1,12.9580074570415,12.972684286059765,0.9988686359203209
A01,2,13.009149023699896,13.025821976103181,0.9987200076560333
A01,3,13.041139190474377,13.02612966118203,1.0011522631574195
A01,4,13.142189424463725,13.139151562065452,1.000231206892159
A01,5,13.013548916988745,13.027352953680328,0.9989403805408003
A01,6,12.932692696229005,12.950428703717677,0.9986304694698191
A01,7,12.926249596410317,12.938468328199637,0.999055627646227
A01,8,13.165999555184408,13.185040603357042,0.9985558597242555
A01,9,13.129594724014336,13.133655748464593,0.999690792531186
A01,10,13.025271962308342,13.033895933923423,0.9993383427596167
A01,11,13.101908139023026,13.11340468058096,0.9991232984996674
A02,0,36.711428538621036,44.792136941943035,0.8195953809081326
A02,1,48.02975193001739,56.06833923747177,0.8566287602454612
A02,2,41.38438197438744,48.832801232128766,0.8474709811887515
A02,3,31.140798047306657,37.75946277905777,0.8247150715443449
A02,4,31.32001114282866,38.790478936259504,0.8074149121565033
A02,5,28.797549242278656,35.971289199407856,0.8005703960911333
A02,6,38.986646172143516,49.01081133504822,0.7954703280797087
A02,7,44.47723087964836,54.53091546375853,0.8156333063802699
A02,8,58.4342520958892,70.08129895180713,0.833806635577242
A02,9,59.18660396189447,69.74302128721565,0.8486383708292797
A02,10,56.42919013330292,65.54715083556812,0.8608946294990218
A02,11,56.79081684123811,66.1015798615625,0.8591446219617738
A03,0,25.61977028560758,30.519269997156083,0.8394620935558071
A03,1,29.57751013916689,35.792179918472705,0.8263679442419666
A03,2,26.779947543870723,32.207546706036375,0.8314805156783828
A03,3,25.775136819159627,31.072767285737253,0.8295088938213334
A03,4,26.09796708809908,31.316017400652225,0.8333743960544463
A03,5,25.722032416567163,30.902926653369782,0.8323493986535521
A03,6,33.89732879226053,41.717692702935636,0.8125408333015313
A03,7,37.44289715648168,46.59772652893089,0.803534849135498
A03,8,43.056143952122866,50.615737353989566,0.8506473718045945
A03,9,42.55338316605977,50.50654974148607,0.842531976226173
A03,10,37.170255906681966,44.570581721112696,0.8339638943746328
A03,11,34.206548259457406,42.03944564369067,0.8136774340313206
A04,0,19.87609591058838,22.416358919392298,0.8866781613401832
A04,1,21.78189941673166,24.724692133121344,0.8809775789908624
A04,2,20.87752152905236,23.453484117572327,0.8901671676751025
A04,3,19.721453133473595,22.068875993654178,0.8936319701621607
A04,4,19.819098804863064,22.11842854665838,0.8960446156043624
A04,5,19.55291382266029,21.6569079865009,0.9028488201015554
A04,6,24.358753312881106,28.499868694192955,0.8546970364759741
A04,7,26.67465838297172,31.236196973437927,0.8539662624632197
A04,8,30.03916465179931,34.94231549445068,0.8596787083720866
A04,9,33.44687082047163,38.289715670269224,0.87352100257151
A04,10,24.75470142253407,28.22784595067491,0.8769603414227999
A04,11,21.63217463072483,24.104674604851688,0.8974265359454716
